Walk here,"Walk here,Jalan kaki kesini"
Follow,"Follow,Mengikuti"
Trade with,"Trade with,Berdagang dengan"
Report,"Report,Laporan"
Examine,"Examine,Meneliti"
Attack,"Attack,Menyerang"
Pickpocket,"Pickpocket,Pencopet"
Enter,"Enter,Memasuki"
Take,"Take,Mengambil"
Talk-to,"Talk-to,Bicara dengan"
Talk-To,"Talk-To,Bicara-kepada"
Wield,"Wield,Menggunakan"
Withdraw,"Withdraw,Menarik"
Deposit,"Deposit,Deposito"
Cancel,"Cancel,Membatalkan"
Bank,"Bank,Bank"
Collect,"Collect,Mengumpulkan"
Use,"Use,Menggunakan"
Drop,"Drop,Menjatuhkan"
Destroy,"Destroy,Menghancurkan"
Home,"Home,Rumah"
Build mode,"Build mode,Mode membangun"
Build,"Build,Membangun"
Remove,"Remove,Menghapus"
Friend's house,"Friend's house,Rumah teman"
Buy-plank,"Buy-plank,Beli papan"
Value,"Value,Nilai"
Buy,"Buy,Membeli"
Eat,"Eat,Makan"
Cast,"Cast,Pemeran"
Exchange,"Exchange,Menukarkan"
History,"History,Sejarah"
Sets,"Sets,Set"
Wear,"Wear,Memakai"
Activate,"Activate,Mengaktifkan"
Logout,"Logout,Keluar"
Add friend,"Add friend,Tambahkan teman"
Add ignore,"Add ignore,Tambahkan abaikan"
Prices,"Prices,Harga"
Loot,"Loot,Menjarah"
Chop down,"Chop down,Menebang"
Chop-down,"Chop-down,menebang"
View,"View,Melihat"
Trade,"Trade,Berdagang"
Claim,"Claim,Mengeklaim"
Search,"Search,Mencari"
Makeover,"Makeover,Perubahan"
Climb-up,"Climb-up,Memanjat ke atas"
Climb-down,"Climb-down,Pengunduran"
Close,"Close,Menutup"
Open a,"Open a,Buka sebuah"
Smelt,"Smelt,Mencium"
Steal-from,"Steal-from,Mencuri dari"
Mine,"Mine,Milikku"
Cook,"Cook,Memasak"
Pray-at,"Pray-at,Berdoa-di"
Setup,"Setup,Pengaturan"
Fill,"Fill,Mengisi"
Check,"Check,Memeriksa"
Empty,"Empty,Kosong"
Commission,"Commission,Komisi"
Shop,"Shop,Toko"
Hand-in,"Hand-in,Serah terima"
Cool-preform,"Cool-preform,Preform dingin"
Quench-preform,"Quench-preform,Pendinginan-preform"
Take-preform,"Take-preform,Ambil-lakukan-sebelumnya"
Heat-preform,"Heat-preform,Preform panas"
Dunk-preform,"Dunk-preform,Dunk-preform (peragaan dunk)"
Exit,"Exit,KELUAR"
Read,"Read,Membaca"
Open,"Open,Membuka"
Heal,"Heal,Sembuh"
Trade-with,"Trade-with,Perdagangan-dengan"
Teleport,"Teleport,Teleportasi"
Energy,"Energy,Energi"
Alchemy,"Alchemy,Alkimia"
Age,"Age,Usia"
Claim-trophies,"Claim-trophies,Klaim-trofi"
Repair,"Repair,Memperbaiki"
Play,"Play,Bermain"
Grapple,"Grapple,Bergulat"
Toggle warnings,"Toggle warnings,Alihkan peringatan"
Armour,"Armour,Baja"
Smith,"Smith,Tukang besi"
Check-health,"Check-health,Periksa kesehatan"
Inspect,"Inspect,Memeriksa"
Guide,"Guide,Memandu"
Pay,"Pay,Membayar"
Shut,"Shut,Ditutup"
Pick,"Pick,Memilih"
Pick-Lock,"Pick-Lock,Maling"
Catch,"Catch,Menangkap"
Chop,"Chop,Mencacah"
Take-axe,"Take-axe,Ambil kapak"
Net,"Net,Bersih"
Small Net,"Small Net,Jaring Kecil"
Big Net,"Big Net,Jaring Besar"
Lure,"Lure,Memancing"
Bait,"Bait,Umpan"
Use-rod,"Use-rod,Gunakan batang"
Cast,"Cast,Pemeran"
Cage,"Cage,Kurungan"
Harpoon,"Harpoon,Seruit"
Fish,"Fish,Ikan"
Catch,"Catch,Menangkap"
Pan,"Pan,Panci"
Fish-In,"Fish-In,Ikan-Di"
Steal from,"Steal from,Mencuri dari"
Holiday-items,"Holiday-items,Barang-barang untuk liburan"
Redeem-code,"Redeem-code,Kode Penukaran"
Climb-into,"Climb-into,Naik ke dalam"
Assignment,"Assignment,Penugasan"
Rewards,"Rewards,Hadiah"
Settings,"Settings,Pengaturan"
Set-up,"Set-up,Pengaturan"
Check totals,"Check totals,Periksa total"
Activity,"Activity,Aktivitas"
Charge,"Charge,Mengenakan biaya"
Uncharge,"Uncharge,Lepaskan muatan"
Read,"Read,Membaca"
Feel,"Feel,Merasa"
Interact,"Interact,Berinteraksi"
Cast bloom,"Cast bloom,Pemeran bunga"
Bloom,"Bloom,Bunga"
Trim,"Trim,Memangkas"
Options,"Options,Pilihan"
Break,"Break,Merusak"
Ring,"Ring,Cincin"
Last-teleport,"Last-teleport,Teleportasi terakhir"
Check steps,"Check steps,Periksa langkah-langkahnya"
Equip,"Equip,Melengkapi"
Monastery Teleport,"Monastery Teleport,Teleportasi Biara"
Farm Teleport,"Farm Teleport,Teleportasi Pertanian"
Kandarin Monastery,"Kandarin Monastery,Biara Kandarin"
Ardougne Farm,"Ardougne Farm,Peternakan Ardougne"
Kourend Woodland,"Kourend Woodland,Hutan Kourend"
Mount Karuulm,"Mount Karuulm,Gunung Karuulm"
Functions,"Functions,Fungsi"
Alchemy,"Alchemy,Alkimia"
Ecto Teleport,"Ecto Teleport,Teleportasi Ekto"
Burgh Teleport,"Burgh Teleport,Teleportasi Burgh"
Ectofuntus Pit,"Ectofuntus Pit,Lubang Ectofuntus"
Recharge-prayer,"Recharge-prayer,Doa isi ulang"
Rub,"Rub,Menggosok"
Gem Mine,"Gem Mine,Tambang Permata"
Break,"Break,Merusak"
Inside,"Inside,Di dalam"
Outside,"Outside,Di luar"
Group,"Group,Kelompok"
Toggle,"Toggle,Beralih"
Master,"Master,Menguasai"
Partner,"Partner,Mitra"
Log,"Log,Catatan"
Remove default,"Remove default,Hapus default"
Invoke,"Invoke,Memohon"
Divine,"Divine,Bersifat ketuhanan"
Check charges,"Check charges,Periksa biaya"
Check-charge,"Check-charge,Periksa biaya"
Empty,"Empty,Kosong"
Temple,"Temple,Kuil"
Surface,"Surface,Permukaan"
Dismantle,"Dismantle,Membongkar"
Commune,"Commune,Komune"
Recite-prayer,"Recite-prayer,Bacaan doa"
View,"View,Melihat"
Wiki,"Wiki,Bahasa Indonesia"
Hide,"Hide,Bersembunyi"
Overview,"Overview,Ringkasan"
Bosses,"Bosses,Bos"
Tasks,"Tasks,Tugas"
Rewards,"Rewards,Hadiah"
Collection Log,"Collection Log,Catatan Koleksi"
Quest List,"Quest List,Daftar Misi"
Achievement Diaries,"Achievement Diaries,Catatan Prestasi"
Read journal:,"Read journal:,Baca jurnal:"
Settings,"Settings,Pengaturan"
Open Search,"Open Search,Pencarian Terbuka"
Accurate,"Accurate,Tepat"
Aggressive,"Aggressive,Agresif"
Defensive,"Defensive,Defensif"
Controlled,"Controlled,Terkendali"
Rapid,"Rapid,Cepat"
Longrange,"Longrange,Jarak Jauh"
Bash,"Bash,Pesta"
Pound,"Pound,Pound"
Focus,"Focus,Fokus"
Choose spell,"Choose spell,Pilih mantra"
Auto retaliate,"Auto retaliate,Pembalasan otomatis"
View equipment stats,"View equipment stats,Lihat statistik peralatan"
View guide prices,"View guide prices,Lihat harga panduan"
View items kept on death,"View items kept on death,Lihat item yang disimpan saat kematian"
Call follower,"Call follower,Panggilan pengikut"
Set Bonus,"Set Bonus,Set Bonus"
Stat Bonus,"Stat Bonus,Bonus Statistik"
Add all,"Add all,Tambahkan semuanya"
Search for item,"Search for item,Pencarian barang"
Add,"Add,Menambahkan"
Add-5,"Add-5,Tambahkan-5"
Add-10,"Add-10,Tambahkan-10"
Add-All,"Add-All,Tambahkan-Semua"
Add-X,"Add-X,Tambahkan-X"
Remove-5,"Remove-5,Hapus-5"
Remove-10,"Remove-10,Hapus-10"
Remove-All,"Remove-All,Hapus semua"
Remove-X,"Remove-X,Hapus-X"
Toggle,"Toggle,Beralih"
Deposit-1,"Deposit-1,Setoran-1"
Deposit-5,"Deposit-5,Setoran-5"
Deposit-10,"Deposit-10,Setoran-10"
Deposit-X,"Deposit-X,Deposit-X"
Deposit-All,"Deposit-All,Deposit-Semua"
Withdraw-1,"Withdraw-1,Penarikan-1"
Withdraw-5,"Withdraw-5,Penarikan-5"
Withdraw-10,"Withdraw-10,Penarikan-10"
Withdraw-X,"Withdraw-X,Penarikan-X"
Withdraw-All,"Withdraw-All,Tarik-Semua"
Deposit worn items,"Deposit worn items,Simpan barang yang sudah dipakai"
Deposit inventory,"Deposit inventory,Setoran inventaris"
Disable,"Disable,Cacat"
Enable,"Enable,Memungkinkan"
Item,"Item,Barang"
Note,"Note,Catatan"
Swap,"Swap,Menukar"
Insert,"Insert,Menyisipkan"
View all items,"View all items,Lihat semua item"
View tab,"View tab,Lihat tab"
Show menu,"Show menu,Tampilkan menu"
Hide menu,"Hide menu,Sembunyikan menu"
Digit,"Digit,Angka"
Roman numeral,"Roman numeral,angka romawi"
Hide,"Hide,Bersembunyi"
Show,"Show,Menunjukkan"
Show worn items,"Show worn items,Tampilkan item yang sudah dipakai"
Group Storage,"Group Storage,Penyimpanan Grup"
Back to bank,"Back to bank,Kembali ke bank"
Save,"Save,Menyimpan"
Shuffle items up.,"Shuffle items up.,Acak itemnya."
Storage Unlocks,"Storage Unlocks,Membuka Penyimpanan"
Toggle completed unlocks,"Toggle completed unlocks,Alihkan pembukaan kunci yang telah selesai"
Check kills,"Check kills,Periksa pembunuhan"
Diassemble,"Diassemble,Membongkar"
Revert,"Revert,Kembali"
Preach,"Preach,Berkhotbah"
Guzzle,"Guzzle,Membuang waktu"
Pages,"Pages,Halaman"
Drink,"Drink,Minum"
Mix-cocktail,"Mix-cocktail,Campuran koktail"
Bury,"Bury,Mengubur"
Select,"Select,Memilih"
Fill box from inventory,"Fill box from inventory,Isi kotak dari inventaris"
Empty all to inventory,"Empty all to inventory,Kosongkan semua ke inventaris"
Impling-jar,"Impling-jar,toples impling"
Butterfly-jar,"Butterfly-jar,toples kupu-kupu"
Lay,"Lay,Berbaring"
Dismantle,"Dismantle,Membongkar"
Investigate,"Investigate,Menyelidiki"
Locate,"Locate,Menemukan"
Check-keys,"Check-keys,Periksa kunci"
Next:,"Next:,Berikutnya:"
Configure,"Configure,Konfigurasi"
Hold,"Hold,Memegang"
Transform,"Transform,Mengubah"
Lap-count,"Lap-count,Hitungan putaran"
Release,"Release,Melepaskan"
Dig,"Dig,Menggali"
Swing,"Swing,Mengayun"
Unstuff,"Unstuff,Lepaskan Barang-Barang"
Launch,"Launch,Meluncurkan"
Squash,"Squash,Labu"
Upgrade,"Upgrade,Meningkatkan"
Travel,"Travel,Bepergian"
Teleport Menu,"Teleport Menu,Menu Teleportasi"
Venerate,"Venerate,Memuliakan"
Store,"Store,Toko"
Pick-up,"Pick-up,Menjemput"
Lock,"Lock,Kunci"
Configuration,"Configuration,Konfigurasi"
Study,"Study,Belajar"
Observe,"Observe,Mengamati"
Add-House,"Add-House,Tambahkan Rumah"
Visit-Last,"Visit-Last,Kunjungan-Terakhir"
Pay (Fruit tree),"Pay (Fruit tree),Bayar (Pohon buah)"
Pay (tree patch),"Pay (tree patch),Bayar (tambalan pohon)"
Pay (Celastrus tree),"Pay (Celastrus tree),Bayar (pohon Celastrus)"
Pay (Spirit tree),"Pay (Spirit tree),Bayar (Pohon Roh)"
Pay (Redwood tree),"Pay (Redwood tree),Bayar (Pohon Redwood)"
